time,x_real,y_real,SOC,power,rpm,mtr_temp
0.00,0.32,0.33,100.00,-115.00,0.00,20.00
1.00,-0.01,0.29,100.00,-115.00,1.15,20.03
2.00,0.01,0.49,99.99,-115.00,2.30,20.06
3.00,0.18,0.41,99.99,-115.00,3.45,20.08
4.00,0.26,0.37,99.98,-115.00,4.60,20.11
5.00,-0.03,0.03,99.98,-115.00,5.75,20.14
6.00,0.05,0.06,99.97,-115.00,6.90,20.17
7.00,-0.04,0.01,99.97,-115.00,8.05,20.19
8.00,0.17,0.26,99.96,-115.00,9.20,20.22
9.00,0.30,0.50,99.96,-115.00,10.35,20.25
10.00,0.20,0.23,99.95,-115.00,11.50,20.28
11.00,0.20,0.21,99.95,-115.00,12.65,20.30
12.00,0.02,0.48,99.94,-115.00,13.80,20.33
13.00,0.15,0.30,99.94,-115.00,14.95,20.36
14.00,0.21,0.34,99.93,-115.00,16.10,20.39
15.00,-0.06,0.38,99.93,-115.00,17.25,20.41
16.00,0.33,0.22,99.92,-115.00,18.40,20.44
17.00,0.21,0.29,99.92,-115.00,19.55,20.47
18.00,-0.18,0.41,99.91,-115.00,20.70,20.50
19.00,-0.19,0.21,99.91,-115.00,21.85,20.52
20.00,-0.03,0.04,99.90,-115.00,23.00,20.55
21.00,-0.10,0.28,99.90,-115.00,24.15,20.58
22.00,0.19,0.29,99.89,-115.00,25.30,20.61
23.00,-0.19,0.31,99.89,-115.00,26.45,20.63
24.00,0.13,0.04,99.88,-115.00,27.60,20.66
25.00,0.24,0.36,99.88,-115.00,28.75,20.69
26.00,0.13,0.03,99.87,-115.00,29.90,20.72
27.00,0.05,0.49,99.87,-115.00,31.05,20.74
28.00,-0.08,0.32,99.86,-115.00,32.20,20.77
29.00,0.16,0.07,99.86,-115.00,33.35,20.80
30.00,0.17,0.11,99.85,-115.00,34.50,20.83
31.00,0.04,0.09,99.85,-115.00,35.65,20.85
32.00,-0.22,0.11,99.84,-115.00,36.80,20.88
33.00,0.12,0.05,99.84,-115.00,37.95,20.91
34.00,0.10,0.01,99.83,-115.00,39.10,20.94
35.00,0.11,0.28,99.83,-115.00,40.25,20.96
36.00,-0.04,0.37,99.82,-115.00,41.40,20.99
37.00,-0.22,0.02,99.82,-115.00,42.55,21.02
38.00,0.12,0.01,99.81,-115.00,43.70,21.05
39.00,-0.19,0.03,99.81,-115.00,44.85,21.07
40.00,-0.31,0.31,99.80,-115.00,46.00,21.10
41.00,-0.25,0.43,99.80,-115.00,47.15,21.13
42.00,-0.24,0.05,99.79,-115.00,48.30,21.16
43.00,-0.33,0.27,99.79,-115.00,49.45,21.18
44.00,-0.38,0.24,99.78,-115.00,50.60,21.21
45.00,-0.23,0.44,99.78,-115.00,51.75,21.24
46.00,-0.27,0.32,99.77,-115.00,52.90,21.27
47.00,-0.44,0.09,99.77,-115.00,54.05,21.29
48.00,0.01,0.45,99.76,-115.00,55.20,21.32
